"" ,"SampleID" ,"Species" ,"Colony" ,"Volume" ,"HPC" ,"PercentBleached" ,"PercentDead" ,"TrayNum" ,"TrayWt" ,"DW" ,"AW" ,"AFDW" ,"pcAFDW" ,"SA" ,"Check" ,"Compromised" ,"Aqua" ,"Tank" ,"Nuts"
"47" ,16 ,"Montipora" ,2 ,7 ,"H" ,0 ,0 ,251 ,0.97624 ,5.45586 ,5.11646 ,0.3394 ,0.0622083411231227 ,25.8566267652634 ,NA ,FALSE ,13 ,"Mid" ,"Ambient"
"48" ,16 ,"Montipora" ,3 ,5 ,"P" ,15 ,0 ,252 ,0.97949 ,5.27071 ,4.97861 ,0.2921 ,0.0554194785901711 ,23.6643179203375 ,NA ,FALSE ,13 ,"Mid" ,"Ambient"
"49" ,17 ,"Montipora" ,1 ,4 ,"P" ,0 ,0 ,294 ,1.0202 ,3.2461 ,3.0599 ,0.1862 ,0.0573611410615817 ,14.6616568506703 ,NA ,FALSE ,5 ,"Near" ,"Medium"
"50" ,17 ,"Montipora" ,2 ,5 ,"P" ,10 ,0 ,293 ,0.96858 ,3.57712 ,3.35662 ,0.2205 ,0.0616417676790268 ,14.879310534555 ,NA ,FALSE ,5 ,"Near" ,"Medium"
"51" ,17 ,"Montipora" ,3 ,2 ,"H" ,0 ,0 ,292 ,0.9769 ,0.9067 ,0.8372 ,0.0694999999999999 ,0.0766515936914083 ,6.81981542838838 ,NA ,FALSE ,5 ,"Near" ,"Medium"
"52" ,18 ,"Montipora" ,1 ,4 ,"H" ,0 ,0 ,164 ,0.98489 ,4.34951 ,4.07861 ,0.270899999999999 ,0.0622828778414119 ,20.7528055982272 ,NA ,FALSE ,5 ,"Near" ,"Medium"
"53" ,18 ,"Montipora" ,2 ,4 ,"H" ,0 ,0 ,165 ,1.00867 ,2.10563 ,1.97713 ,0.1285 ,0.0610268660685877 ,10.3022743705441 ,NA ,FALSE ,5 ,"Near" ,"Medium"
"54" ,18 ,"Montipora" ,3 ,1 ,"H" ,0 ,0 ,284 ,1.00606 ,0.81444 ,0.75944 ,0.0549999999999999 ,0.0675310642895731 ,5.85456865637781 ,NA ,FALSE ,5 ,"Near" ,"Medium"
"55" ,19 ,"Montipora" ,1 ,4 ,"H" ,0 ,0 ,259 ,1.01036 ,3.01314 ,2.85014 ,0.163 ,0.0540963911401396 ,12.0119598294648 ,NA ,FALSE ,5 ,"Near" ,"Medium"
"56" ,19 ,"Montipora" ,2 ,4 ,"H" ,0 ,0 ,260 ,0.99426 ,2.32124 ,2.20494 ,0.1163 ,0.0501025314056282 ,13.4598299874807 ,NA ,FALSE ,5 ,"Near" ,"Medium"
"57" ,19 ,"Montipora" ,3 ,1 ,"C" ,5 ,0 ,261 ,1.00294 ,1.37426 ,1.29736 ,0.0769000000000002 ,0.0559573879760745 ,6.78511701501545 ,NA ,TRUE ,5 ,"Near" ,"Medium"
"58" ,20 ,"Montipora" ,1 ,9 ,"H" ,0 ,0 ,194 ,1.00859 ,6.36491 ,5.97601 ,0.3889 ,0.0611006282885382 ,32.6764421936518 ,NA ,FALSE ,5 ,"Near" ,"Medium"
"59" ,20 ,"Montipora" ,2 ,4 ,"H" ,0 ,0 ,195 ,1.01309 ,3.02441 ,2.80761 ,0.2168 ,0.0716834027132564 ,19.5478243338218 ,NA ,FALSE ,5 ,"Near" ,"Medium"
"60" ,20 ,"Montipora" ,3 ,2 ,"H" ,0 ,0 ,196 ,1.0136 ,1.043 ,0.9702 ,0.0728 ,0.0697986577181208 ,7.77875339796751 ,NA ,FALSE ,5 ,"Near" ,"Medium"
"61" ,21 ,"Montipora" ,1 ,5 ,"H" ,0 ,0 ,188 ,1.01942 ,3.95428 ,3.80228 ,0.152 ,0.0384393619065924 ,18.5699599569484 ,NA ,FALSE ,9 ,"Near" ,"High"
"62" ,21 ,"Montipora" ,2 ,8 ,"C" ,5 ,5 ,189 ,1.02919 ,6.23821 ,5.91811 ,0.3201 ,0.0513127964592407 ,21.2322745830168 ,NA ,TRUE ,9 ,"Near" ,"High"
