Scan No ,Date, Time,RAW VALUE ,CALIBRATED VALUE
385,05/12/2015 , 13:45:00,4266,4266
386,05/12/2015 , 14:00:00,3449,3449
387,05/12/2015 , 14:15:00,3537,3537
388,05/12/2015 , 14:30:00,2512,2512
389,05/12/2015 , 14:45:00,1998,1998
390,05/12/2015 , 15:00:00,1791,1791
391,05/12/2015 , 15:15:00,1616,1616
392,05/12/2015 , 15:30:00,1524,1524
393,05/12/2015 , 15:45:00,980,980
394,05/12/2015 , 16:00:00,760,760
395,05/12/2015 , 16:15:00,900,900
396,05/12/2015 , 16:30:00,472,472
397,05/12/2015 , 16:45:00,477,477
398,05/12/2015 , 17:00:00,431,431
399,05/12/2015 , 17:15:00,188,188
400,05/12/2015 , 17:30:00,146,146
401,05/12/2015 , 17:45:00,97,97
402,05/12/2015 , 18:00:00,25,25
403,05/12/2015 , 18:15:00,1,1
404,05/12/2015 , 18:30:00,0,0
405,05/12/2015 , 18:45:00,0,0
406,05/12/2015 , 19:00:00,0,0
407,05/12/2015 , 19:15:00,0,0
408,05/12/2015 , 19:30:00,0,0
409,05/12/2015 , 19:45:00,0,0
410,05/12/2015 , 20:00:00,0,0
411,05/12/2015 , 20:15:00,0,0
412,05/12/2015 , 20:30:00,0,0
413,05/12/2015 , 20:45:00,0,0
414,05/12/2015 , 21:00:00,0,0
415,05/12/2015 , 21:15:00,0,0
416,05/12/2015 , 21:30:00,0,0
417,05/12/2015 , 21:45:00,2,2
418,05/12/2015 , 22:00:00,0,0
419,05/12/2015 , 22:15:00,0,0
420,05/12/2015 , 22:30:00,0,0
421,05/12/2015 , 22:45:00,0,0
422,05/12/2015 , 23:00:00,0,0
423,05/12/2015 , 23:15:00,0,0
424,05/12/2015 , 23:30:00,0,0
425,05/12/2015 , 23:45:00,0,0
426,05/12/2015 , 24:00:00,0,0
427,06/12/2015 , 00:15:00,0,0
428,06/12/2015 , 00:30:00,0,0
429,06/12/2015 , 00:45:00,0,0
430,06/12/2015 , 01:00:00,0,0
431,06/12/2015 , 01:15:00,0,0
432,06/12/2015 , 01:30:00,0,0
433,06/12/2015 , 01:45:00,0,0
434,06/12/2015 , 02:00:00,3,3
435,06/12/2015 , 02:15:00,0,0
436,06/12/2015 , 02:30:00,2,2
437,06/12/2015 , 02:45:00,1,1
438,06/12/2015 , 03:00:00,0,0
439,06/12/2015 , 03:15:00,0,0
440,06/12/2015 , 03:30:00,0,0
441,06/12/2015 , 03:45:00,0,0
442,06/12/2015 , 04:00:00,0,0
443,06/12/2015 , 04:15:00,0,0
444,06/12/2015 , 04:30:00,0,0
445,06/12/2015 , 04:45:00,0,0
446,06/12/2015 , 05:00:00,0,0
447,06/12/2015 , 05:15:00,0,0
448,06/12/2015 , 05:30:00,0,0
449,06/12/2015 , 05:45:00,0,0
450,06/12/2015 , 06:00:00,0,0
451,06/12/2015 , 06:15:00,0,0
452,06/12/2015 , 06:30:00,0,0
453,06/12/2015 , 06:45:00,0,0
454,06/12/2015 , 07:00:00,19,19
455,06/12/2015 , 07:15:00,86,86
456,06/12/2015 , 07:30:00,213,213
457,06/12/2015 , 07:45:00,403,403
458,06/12/2015 , 08:00:00,450,450
459,06/12/2015 , 08:15:00,707,707
460,06/12/2015 , 08:30:00,1026,1026
461,06/12/2015 , 08:45:00,1277,1277
462,06/12/2015 , 09:00:00,2780,2780
463,06/12/2015 , 09:15:00,1906,1906
464,06/12/2015 , 09:30:00,1466,1466
465,06/12/2015 , 09:45:00,2348,2348
466,06/12/2015 , 10:00:00,3128,3128
467,06/12/2015 , 10:15:00,3657,3657
468,06/12/2015 , 10:30:00,4194,4194
469,06/12/2015 , 10:45:00,5716,5716
470,06/12/2015 , 11:00:00,8319,8319
471,06/12/2015 , 11:15:00,6332,6332
472,06/12/2015 , 11:30:00,8692,8692
473,06/12/2015 , 11:45:00,10162,10162
474,06/12/2015 , 12:00:00,9643,9643
475,06/12/2015 , 12:15:00,9890,9890
476,06/12/2015 , 12:30:00,5649,5649
477,06/12/2015 , 12:45:00,6227,6227
478,06/12/2015 , 13:00:00,4099,4099
479,06/12/2015 , 13:15:00,5647,5647
480,06/12/2015 , 13:30:00,8870,8870
481,06/12/2015 , 13:45:00,6874,6874
482,06/12/2015 , 14:00:00,6951,6951
483,06/12/2015 , 14:15:00,4447,4447
484,06/12/2015 , 14:30:00,4054,4054
485,06/12/2015 , 14:45:00,3189,3189
486,06/12/2015 , 15:00:00,3084,3084
487,06/12/2015 , 15:15:00,2277,2277
488,06/12/2015 , 15:30:00,1994,1994
489,06/12/2015 , 15:45:00,1335,1335
490,06/12/2015 , 16:00:00,755,755
491,06/12/2015 , 16:15:00,839,839
492,06/12/2015 , 16:30:00,615,615
493,06/12/2015 , 16:45:00,659,659
494,06/12/2015 , 17:00:00,662,662
495,06/12/2015 , 17:15:00,553,553
496,06/12/2015 , 17:30:00,163,163
497,06/12/2015 , 17:45:00,89,89
498,06/12/2015 , 18:00:00,29,29
499,06/12/2015 , 18:15:00,1,1
500,06/12/2015 , 18:30:00,0,0
501,06/12/2015 , 18:45:00,0,0
502,06/12/2015 , 19:00:00,0,0
503,06/12/2015 , 19:15:00,0,0
504,06/12/2015 , 19:30:00,0,0
505,06/12/2015 , 19:45:00,0,0
506,06/12/2015 , 20:00:00,0,0
507,06/12/2015 , 20:15:00,0,0
508,06/12/2015 , 20:30:00,0,0
509,06/12/2015 , 20:45:00,0,0
510,06/12/2015 , 21:00:00,0,0
511,06/12/2015 , 21:15:00,0,0
512,06/12/2015 , 21:30:00,0,0
513,06/12/2015 , 21:45:00,0,0
514,06/12/2015 , 22:00:00,0,0
515,06/12/2015 , 22:15:00,0,0
516,06/12/2015 , 22:30:00,0,0
517,06/12/2015 , 22:45:00,0,0
518,06/12/2015 , 23:00:00,0,0
519,06/12/2015 , 23:15:00,0,0
520,06/12/2015 , 23:30:00,0,0
521,06/12/2015 , 23:45:00,0,0
522,06/12/2015 , 24:00:00,0,0
523,07/12/2015 , 00:15:00,0,0
524,07/12/2015 , 00:30:00,0,0
525,07/12/2015 , 00:45:00,0,0
526,07/12/2015 , 01:00:00,0,0
527,07/12/2015 , 01:15:00,0,0
528,07/12/2015 , 01:30:00,0,0
529,07/12/2015 , 01:45:00,0,0
530,07/12/2015 , 02:00:00,0,0
531,07/12/2015 , 02:15:00,0,0
532,07/12/2015 , 02:30:00,0,0
533,07/12/2015 , 02:45:00,0,0
534,07/12/2015 , 03:00:00,0,0
535,07/12/2015 , 03:15:00,0,0
536,07/12/2015 , 03:30:00,0,0
537,07/12/2015 , 03:45:00,0,0
538,07/12/2015 , 04:00:00,0,0
539,07/12/2015 , 04:15:00,0,0
540,07/12/2015 , 04:30:00,0,0
541,07/12/2015 , 04:45:00,0,0
542,07/12/2015 , 05:00:00,0,0
543,07/12/2015 , 05:15:00,0,0
544,07/12/2015 , 05:30:00,0,0
545,07/12/2015 , 05:45:00,0,0
546,07/12/2015 , 06:00:00,0,0
547,07/12/2015 , 06:15:00,0,0
548,07/12/2015 , 06:30:00,0,0
549,07/12/2015 , 06:45:00,0,0
550,07/12/2015 , 07:00:00,19,19
551,07/12/2015 , 07:15:00,89,89
552,07/12/2015 , 07:30:00,253,253
553,07/12/2015 , 07:45:00,473,473
554,07/12/2015 , 08:00:00,629,629
555,07/12/2015 , 08:15:00,826,826
556,07/12/2015 , 08:30:00,1015,1015
557,07/12/2015 , 08:45:00,1346,1346
558,07/12/2015 , 09:00:00,1338,1338
559,07/12/2015 , 09:15:00,1188,1188
560,07/12/2015 , 09:30:00,1145,1145
561,07/12/2015 , 09:45:00,1901,1901
562,07/12/2015 , 10:00:00,2341,2341
563,07/12/2015 , 10:15:00,2857,2857
564,07/12/2015 , 10:30:00,4402,4402
565,07/12/2015 , 10:45:00,7525,7525
566,07/12/2015 , 11:00:00,8272,8272
567,07/12/2015 , 11:15:00,7345,7345
568,07/12/2015 , 11:30:00,7482,7482
569,07/12/2015 , 11:45:00,3866,3866
570,07/12/2015 , 12:00:00,6831,6831
571,07/12/2015 , 12:15:00,5407,5407
572,07/12/2015 , 12:30:00,4854,4854
573,07/12/2015 , 12:45:00,3589,3589
574,07/12/2015 , 13:00:00,3287,3287
575,07/12/2015 , 13:15:00,4327,4327
576,07/12/2015 , 13:30:00,4495,4495
577,07/12/2015 , 13:45:00,4649,4649
578,07/12/2015 , 14:00:00,6309,6309
579,07/12/2015 , 14:15:00,4971,4971
580,07/12/2015 , 14:30:00,3279,3279
581,07/12/2015 , 14:45:00,1831,1831
582,07/12/2015 , 15:00:00,2202,2202
583,07/12/2015 , 15:15:00,2018,2018
584,07/12/2015 , 15:30:00,1013,1013
585,07/12/2015 , 15:45:00,1072,1072
586,07/12/2015 , 16:00:00,822,822
587,07/12/2015 , 16:15:00,964,964
588,07/12/2015 , 16:30:00,749,749
589,07/12/2015 , 16:45:00,424,424
590,07/12/2015 , 17:00:00,317,317
591,07/12/2015 , 17:15:00,255,255
592,07/12/2015 , 17:30:00,195,195
593,07/12/2015 , 17:45:00,94,94
594,07/12/2015 , 18:00:00,29,29
595,07/12/2015 , 18:15:00,1,1
596,07/12/2015 , 18:30:00,0,0
597,07/12/2015 , 18:45:00,0,0
598,07/12/2015 , 19:00:00,0,0
599,07/12/2015 , 19:15:00,0,0
600,07/12/2015 , 19:30:00,0,0
601,07/12/2015 , 19:45:00,0,0
602,07/12/2015 , 20:00:00,0,0
603,07/12/2015 , 20:15:00,0,0
604,07/12/2015 , 20:30:00,0,0
605,07/12/2015 , 20:45:00,0,0
606,07/12/2015 , 21:00:00,0,0
607,07/12/2015 , 21:15:00,0,0
608,07/12/2015 , 21:30:00,0,0
609,07/12/2015 , 21:45:00,0,0
610,07/12/2015 , 22:00:00,0,0
611,07/12/2015 , 22:15:00,0,0
612,07/12/2015 , 22:30:00,0,0
613,07/12/2015 , 22:45:00,0,0
614,07/12/2015 , 23:00:00,0,0
615,07/12/2015 , 23:15:00,0,0
616,07/12/2015 , 23:30:00,0,0
617,07/12/2015 , 23:45:00,0,0
618,07/12/2015 , 24:00:00,0,0
619,08/12/2015 , 00:15:00,0,0
620,08/12/2015 , 00:30:00,0,0
621,08/12/2015 , 00:45:00,0,0
622,08/12/2015 , 01:00:00,0,0
623,08/12/2015 , 01:15:00,0,0
624,08/12/2015 , 01:30:00,0,0
625,08/12/2015 , 01:45:00,0,0
626,08/12/2015 , 02:00:00,0,0
627,08/12/2015 , 02:15:00,0,0
628,08/12/2015 , 02:30:00,0,0
629,08/12/2015 , 02:45:00,0,0
630,08/12/2015 , 03:00:00,0,0
631,08/12/2015 , 03:15:00,0,0
632,08/12/2015 , 03:30:00,0,0
633,08/12/2015 , 03:45:00,0,0
634,08/12/2015 , 04:00:00,0,0
635,08/12/2015 , 04:15:00,0,0
636,08/12/2015 , 04:30:00,0,0
637,08/12/2015 , 04:45:00,0,0
638,08/12/2015 , 05:00:00,0,0
639,08/12/2015 , 05:15:00,0,0
640,08/12/2015 , 05:30:00,0,0
641,08/12/2015 , 05:45:00,0,0
642,08/12/2015 , 06:00:00,0,0
643,08/12/2015 , 06:15:00,0,0
